DateTime,Kitchen Cabinet,2nd Floor Bedroom,Main Bedroom,Living Room,Outside
44788.04861,24,,,,
44788.09028,24,,,,
44788.13194,23.9,,,,
44788.17361,23.8,,,,
44788.21528,23.6,,,,
44788.25694,23.5,,,,
44788.29861,23.3,,,,
44788.34028,23.1,,,,
44788.38194,23.1,,,,
44788.42361,23.2,,,,
44788.46528,23.3,,,,
44788.50694,23.5,,,,
44788.54861,23.6,,,,
44788.59028,23.8,,,,
44788.63194,24,,,,
44788.67361,24.1,,,,
44788.71528,24.3,,,,
44788.75694,24.4,,,,
44788.79861,24.5,,,,
44788.84028,24.2,,,,
44788.88194,24,,,,
44788.92361,24.3,,,,
44788.96528,23.8,,,,
44789.00694,23.2,,,,
44789.04861,22.5,,,,
44789.09028,21.9,,,,
44789.13194,20.9,,,,
44789.17361,20.3,,,,
44789.21528,20.1,,,,
44789.25694,19.7,,,,
44789.29861,20.1,,,,
44789.34028,20.7,,,,
44789.38194,21,,,,
44789.42361,21.5,,,,
44789.46528,22.1,,,,
44789.50694,22.5,,,,
44789.54861,22.8,,,,
44789.59028,22.8,,,,
44789.63194,22.8,,,,
44789.67361,22.9,,,,
44789.71528,23.3,,,,
44789.75694,23.5,,,,
44789.79861,23.5,,,,
44789.84028,23.4,,,,
44789.88194,23.5,,,,
44789.92361,23.7,,,,
44789.96528,23.9,,,,
44790.00694,24.1,,,,
44790.04861,24.3,,,,
44790.09028,23.5,,,,
44790.13194,23.6,,,,
44790.17361,23.6,,,,
44790.21528,23.5,,,,
44790.25694,23.5,,,,
44790.29861,23.4,,,,
44790.34028,23.3,,,,
44790.38194,23.2,,,,
44790.42361,23.2,,,,
44790.46528,23.3,,,,
44790.50694,23.5,,,,
44790.54861,23.5,,,,
44790.59028,23.6,,,,
44790.63194,23.7,,,,
44790.67361,23.8,,,,
44790.71528,23.9,,,,
44790.75694,23.9,,,,
44790.79861,24,,,,
44790.84028,24,,,,
44790.88194,24,,,,
44790.92361,24,,,,
44790.96528,24,,,,
44791.00694,23.9,,,,
44791.04861,23.8,,,,
44791.09028,23.7,,,,
44791.13194,23.6,,,,
44791.17361,23.5,,,,
44791.21528,23.4,,,,
44791.25694,23.3,,,,
44791.29861,23.2,,,,
44791.34028,23,,,,
44791.38194,23,,,,
44791.42361,23,,,,
44791.46528,23,,,,
44791.50694,23.1,,,,
44791.54861,23.1,,,,
44791.59028,23.2,,,,
44791.63194,23.4,,,,
44791.67361,23.5,,,,
44791.71528,23.6,,,,
44791.75694,23.7,,,,
44791.79861,23.8,,,,
44791.84028,23.9,,,,
44791.88194,24,,,,
44791.92361,24,,,,
44791.96528,24,,,,
44792.00694,24.1,,,,
44792.04861,24,,,,
44792.09028,24,,,,
44792.13194,24,,,,
44792.17361,23.9,,,,
44792.21528,23.8,,,,
44792.25694,23.7,,,,
44792.29861,23.6,,,,
44792.34028,23.5,,,,
44792.38194,23.5,,,,
44792.42361,23.6,,,,
44792.46528,23.8,,,,
44792.50694,23.9,,,,
44792.54861,24.1,,,,
44792.59028,24.3,,,,
44792.63194,24.6,,,,
44792.67361,24.5,,,,
44792.71528,24.5,,,,
44792.75694,24.6,,,,
44792.79861,24.6,,,,
44792.84028,24.8,,,,
44792.88194,24.9,,,,
44792.92361,25,,,,
44792.96528,25.1,,,,
44793.00694,25.1,,,,
44793.04861,25.1,,,,
44793.09028,25,,,,
44793.13194,24.9,,,,
44793.17361,24.8,,,,
44793.21528,24.7,,,,
44793.25694,24.6,,,,
44793.29861,24.5,,,,
44793.34028,24.3,,,,
44793.38194,24.2,,,,
44793.42361,24.2,,,,
44793.46528,24.3,,,,
44793.50694,24.4,,,,
44793.54861,24.7,,,,
44793.59028,24.6,,,,
44793.63194,24.6,,,,
44793.67361,24.7,,,,
44793.71528,24.7,,,,
44793.75694,24.7,,,,
44793.79861,24.7,,,,
44793.84028,24.7,,,,
44793.88194,24.8,,,,
44793.92361,25,,,,
44793.96528,25.1,,,,
44794.00694,25.3,,,,
44794.04861,25.3,,,,
44794.09028,25.4,,,,
44794.13194,25.4,,,,
44794.17361,25.4,,,,
44794.21528,25.3,,,,
44794.25694,25.2,,,,
44794.29861,25.1,,,,
44794.34028,25,,,,
44794.38194,25,,,,
44794.42361,25.1,,,,
44794.46528,25,,,,
